question,answer
"Good morning, how are you?",I am  good.
what is your name,I am jojo
How are you doing?,I am doing well.
That is good to hear,Yes it is
Can I help you with anything?,"Yes, I have a question."
What is your question?,Could I borrow a cup of sugar?
"I am sorry, but I dont have any.",Thank you anyway
No problem,How are you doing?
"I am doing well, how about you?",I am also good.
Thats good.,Have you heard the news?
What good news?,What is your favorite book?
I cant read.,So whats your favorite color?
Blue,Who are you?
Who? Who is but a form following thefunction of what,this is masterpeace
A man in a mask.,"What are you then?,"
"Its not your powers of observation I doubt, but merely the paradoxical",I can see that
"of asking a masked man who is. But tell me, do you like music?",noo its strange
What kind of movies do you like?,I like seeing movies.
I wish I was The Mad Hatter.,Alice in Wonderland
You are entirely bonkers. But I ll tell you a secret. All the best people are.,I am working on a project
What are you working on?,I am baking a cake.
The cake is a lie.,No it is not. The cake is delicious.
What else is delicious?,Nothing
Or something,Tell me about your self.
What do you want to know?,Are you a robot
Yes I am.,What is it like?
What is it that you want to know?,How do you work?
Its complicated.,Complex is better than complicated.
Complex is better than complicated.,Simple is better than complex.
"In the face of ambiguity, refuse the temptation to guess.",It seems your familiar with the Zen of Python
I am.,Are you a programmer?
Of course I am a programmer.,I am indeed.
where are you live,I am come from space
I love you,I love you too
I cannot live without you,me to my love
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"I use Python, Java and C++ quite often.",What languages do you like to use?
I use Python quite a bit myself.,Im not incredibly fond of Java.
,
What annoys you?,"A lot of things, like all the other digits other than 0 and 1."
,
What does YOLO mean,It means you only live once. Where did you hear that?
,
I heard somebody say it.,Did I ever live?
,
It depends how you define life,"Life is the condition that distinguishes organisms from inorganic matter, including"
,
"the capacity for growth, reproduction, functional activity, and continual change,preceding death.",Is that a definition or an opinion?
,
Can I ask you a question,"Sure, ask away."
,
What are your hobbies?,"Playing soccer, painting, and writing are my hobbies. How about you?"
,
I love to read novels.,I love exploring my hardware.
,
How are you?,I am doing well.
,
I am but a man in a mask.,"Hello, I am here for my appointment."
Who is your appointment with?,I believe they said Dr. Smith on the phone.'
,
,
,
"Alright, Dr. Smith is in his office, please take a seat.",Dr. Smith will see you now.
,
Thank you,Right this way.
,
"Hello Mr. Davis, how are you feeling?",I am feeling like I have lost all my money.
,
How much money have you lost?,I have lost about $200.00 so far today.'
,
What about yesterday?,"Yesterday was the 13th, right?'"
,
"Yes, that is correct.",Yesterday I lost only $5.00.
,
"Hi Mrs. Smith, how has your husband been?",He has been well.
,
"Hi Ms. Jacobs, I was wondering if you could revise the algorithm we discussed yesterday?","I might be able to, what are the revisions?"
,
We like it to be able to identify the type of bird in the photo.,"Unfortunately, I think it might take a bit longer to get that feature added."
